semana,sazonal
1,0.12037358589635518
2,-0.47781496861388895
3,-1.2691541225143699
4,-0.535262990069594
5,0.8655147458566608
6,0.9798892334079282
7,0.22645824129477102
8,-0.7337221400202064
9,0.21253893585352795
10,-0.7563192427055504
11,-0.6459991588614319
12,-0.4662362117206516
13,-2.2035537526392224
14,0.18949948356227073
15,0.7879386587023927
16,-0.37208062287034216
17,0.1515310541846511
18,-0.26873864893994687
19,0.3519391176397882
20,0.26137081803758233
21,-1.3215545367686
22,-0.10624868183592834
23,-0.25400853139615065
24,0.7250207072461622
25,1.6846815738828427
26,0.4106658927028476
27,0.04358530566619217
28,-0.6319826678619577
29,-1.1177922848467778
30,-2.388918606663659
31,-0.33559757534988255
32,-0.6243540329896269
33,0.148838808569825
34,1.8442006942538332
35,0.38949741323655906
36,-0.8820969618826037
37,-0.13645074318683348
38,-0.10987639863749796
39,3.2878012127982585
40,-0.3024976460111448
41,1.2653355829982829
42,1.0523323990389573
43,0.5460158582279894
44,-0.5644481236256377
45,-0.1412297046828958
46,0.05136611274452433
47,1.34617520656309
48,1.0787478612030772
49,2.099187426613848
50,-0.32778370590756534
51,-1.2569284862308168
52,-2.2373423201017104
53,-0.8943240463934262
