ds,yhat,yhat_lower,yhat_upper
2018-01-01,4.032046735349253,1.3040283811200197,6.73122602479267
2018-01-08,4.357373052858079,1.6826159342106648,6.996999395636523
2018-01-15,4.720875134712893,2.128564794085104,7.363877146243723
2018-01-22,4.896713755331151,2.3861834687676926,7.658949802950118
2018-01-29,4.9743032958639795,2.233947567826903,7.454283158574352
2018-02-05,5.201643571948412,2.6386558316016675,7.864189415245372
2018-02-12,5.6106883148060405,2.9038414508064267,8.19501856514414
2018-02-19,5.874783419745962,3.1215185891874873,8.541864650614128
2018-02-26,5.610631645110882,3.0964897672781317,8.370664095184376
2018-03-05,4.822380145668302,2.0670603405280925,7.4816805990517405
2018-03-12,3.9871982014771836,1.3607243394940403,6.775204002940475
2018-03-19,3.6528227867960386,0.8449464914128585,6.320471404352811
2018-03-26,3.952658952698091,1.350198456375927,6.575819656661846
2018-04-02,4.535754045811277,2.061417049593028,7.13066467104669
2018-04-09,4.953556727935104,2.2662457628231225,7.57218237033252
2018-04-16,5.063867784081662,2.089336666509351,7.90475715106679
2018-04-23,5.041732096632776,2.3159062520458065,7.750755514491964
2018-04-30,5.062464452171965,2.466574908828327,7.882732908930572
2018-05-07,5.075301477372765,2.48326255738074,7.740705332555956
2018-05-14,4.924954193539088,2.1287051969136463,7.714105280966116
2018-05-21,4.63054106795315,1.9144787382768849,7.554890175503908
2018-05-28,4.443963292784647,1.7101097649187653,7.132230620747545
2018-06-04,4.590544872818242,1.8978646335919835,7.3026264299015375
2018-06-11,4.988416607621845,2.282077876676889,7.639406948172394
2018-06-18,5.279957533522175,2.5220443457997948,8.150989164785127
2018-06-25,5.158902033682108,2.611142382711874,7.923665085419463
2018-07-02,4.656048250791121,2.1120625150647294,7.238067509664346
2018-07-09,4.106828068416735,1.389978297828542,7.063642625445944
2018-07-16,3.8632506241670104,1.393305761784347,6.717026678998288
2018-07-23,4.040361786682263,1.206710886761107,6.6867753308693665
2018-07-30,4.493024779552819,1.8926888686484291,7.106421102099504
2018-08-06,4.969523267200981,2.166519922057876,7.724513435270247
2018-08-13,5.270415523705172,2.6245433015207325,7.907649267345278
2018-08-20,5.320338322816321,2.582261529428104,8.030443189720069
2018-08-27,5.172024002459419,2.4985340302133365,7.9590928778298204
2018-09-03,4.972166303704702,2.380548342924286,7.674172163249287
2018-09-10,4.881498117657623,2.1751818407659815,7.521801090024022
2018-09-17,4.96658823170185,2.235679377134413,7.516104830147007
2018-09-24,5.14614788473527,2.453171604376802,7.762343022701646
2018-10-01,5.2593293725377475,2.679317887140048,8.05513938535929
2018-10-08,5.205433056080669,2.4416669793576555,7.769940593459892
2018-10-15,5.020796623103454,2.3910438742511864,7.832809057267291
2018-10-22,4.826461029355013,2.143813710491488,7.54426418403162
2018-10-29,4.72348800610265,2.015893626858014,7.409464428882757
2018-11-05,4.75062444183696,1.7942550831283244,7.442478822726036
2018-11-12,4.90971477804664,2.1081215124660218,7.763042654614869
2018-11-19,5.1688372968726854,2.4805611072896907,8.069657973474218
2018-11-26,5.413992675287838,2.6363643909566346,8.227292386874772
2018-12-03,5.450027722580873,2.7689770532133613,8.033818681261215
2018-12-10,5.13884226951989,2.3324576145107443,7.734381901761609
2018-12-17,4.577005665805105,1.9918400148255457,7.456048423307872
2018-12-24,4.092018949906373,1.3222876101994054,6.661001524492232
2018-12-31,3.9879686424310528,1.472993995331641,6.552164651005074
2019-01-07,4.268931937581438,1.4707912378847061,6.874935537376309
2019-01-14,4.647905933715127,2.007274692562965,7.321818640554925
2019-01-21,4.859221487589111,2.2475770553628056,7.488520439069764
2019-01-28,4.935612688814395,2.1466223694055797,7.579379109354043
2019-02-04,5.12250482446256,2.40726910975983,7.957654339469795
2019-02-11,5.512754785475676,2.745085202500702,8.08207541890772
2019-02-18,5.8343641135939075,3.135163747625906,8.618131512946531
2019-02-25,5.680285463156824,2.965863350754377,8.599715744413071
2019-03-04,4.964140704752763,2.301052324311666,7.716292988959059
2019-03-11,4.095256159618185,1.3523243551395858,6.650374163932752
2019-03-18,3.64739595905741,0.9277258367434735,6.4744554571691
2019-03-25,3.8482040770228045,1.3461145413290025,6.655190641773125
2019-04-01,4.41519074110007,1.632858608244649,7.026122426491794
2019-04-08,4.882747982516741,2.206553716425981,7.712889732047371
2019-04-15,5.0403756714001355,2.449653080419772,7.873293972713269
2019-04-22,5.02441750529295,2.5031249284983885,7.866310297981181
2019-04-29,5.034243850423668,2.2668646144444877,7.767504129686081
2019-05-06,5.060605325002912,2.1778410916764663,7.870167916121902
2019-05-13,4.946339104842144,2.141112758365808,7.564120866206291
2019-05-20,4.665020397747481,1.9631530920072542,7.5873413408624995
2019-05-27,4.4381167616884145,1.790033289838183,7.2695781568192
2019-06-03,4.520140779217557,1.777560560676937,7.107939016709087
2019-06-10,4.893182149097936,2.2568000547928295,7.394567480446459
2019-06-17,5.231320212853798,2.507532666432201,7.908961750601591
2019-06-24,5.193234960429777,2.581476662455976,7.852854341685436
2019-07-01,4.741585700942713,2.1262224873916344,7.496860489197879
2019-07-08,4.173296531366795,1.3313540479361266,6.973387596493245
2019-07-15,3.859394702333099,1.3239598972615478,6.782567667301854
2019-07-22,3.9655544398202314,1.3767798989170932,6.71267967229637
2019-07-29,4.385153710520795,1.6312198326070082,7.181945119637943
2019-08-05,4.873000225063361,1.9754978102628007,7.459802185969077
2019-08-12,5.2132613055742345,2.527766178523265,7.948022276461855
2019-08-19,5.30719741625306,2.6092472458517637,8.04667199823378
2019-08-26,5.185977535062676,2.3699087844789966,7.844383092246771
2019-09-02,4.983355813075632,2.325829488767231,7.742201077893155
2019-09-09,4.8647842924521925,2.147431669259909,7.639556184851708
2019-09-16,4.920121549103514,2.2793095177169143,7.7174826264763245
2019-09-23,5.093362903270355,2.3795105413011615,7.87185295292302
2019-09-30,5.228680060274338,2.4540023110767173,8.12316952665429
2019-10-07,5.205998015619965,2.59246346254058,8.083376843203972
2019-10-14,5.037518864687377,2.242927345833559,7.750955677084756
2019-10-21,4.836639835526924,2.1775613661477227,7.534850933153319
2019-10-28,4.713368783094798,1.8452442520013979,7.510738569352861
2019-11-04,4.716477533690101,2.111893930285943,7.22812981937796
2019-11-11,4.852329547400409,2.257722898451759,7.532826856801373
2019-11-18,5.097916502184872,2.4271443966340853,7.858052083468089
2019-11-25,5.3574848336436895,2.6193307826636723,7.909637942012888
2019-12-02,5.444958056068813,2.752055254036867,8.14402152714769
2019-12-09,5.198001992279413,2.509644614431531,7.7764262680719565
2019-12-16,4.663576021895751,2.0147971451489353,7.287151807018058
2019-12-23,4.139577554973828,1.4895606097397809,6.909457906294308
2019-12-30,3.9572177816985175,1.2512921237961634,6.678153880358192
2020-01-06,4.184116475491928,1.4944239406547026,6.76624827975701
2020-01-13,4.569137845975264,1.715352867388655,7.201005215080199
2020-01-20,4.816924414215537,2.1747751775419566,7.545472601137408
2020-01-27,4.901034551913316,2.2100906688812874,7.5298959360133555
2020-02-03,5.051418729986555,2.5305534394487896,7.745596967031081
2020-02-10,5.413700265508572,2.75402009396855,8.198440796028969
2020-02-17,5.778038196077883,2.9572416085742805,8.395704125577344
2020-02-24,5.729851523521312,3.308891384333814,8.377089988095822
2020-03-02,5.099230718381468,2.2621743175251687,7.853669690386711
2020-03-09,4.216694901983429,1.5094224949025408,6.996763952263914
2020-03-16,3.6640004072290417,0.9694800476252541,6.373298266829221
2020-03-23,3.7566148278594698,1.1253737966388937,6.54832739306839
2020-03-30,4.291507057976008,1.5789142398503804,6.801191021306336
2020-04-06,4.801468109654054,2.003278785993251,7.50976825954342
2020-04-13,5.011242391147552,2.276890634916074,7.720811582099926
2020-04-20,5.008572697674016,2.349588022416411,7.695933649980179
2020-04-27,5.007081639625621,2.116565659946454,7.605541770559109
2020-05-04,5.040989653723804,2.3432210074775734,7.710851156264155
2020-05-11,4.961302383846701,2.2553626655187697,7.830820522706587
2020-05-18,4.700666281675514,2.2000161328708923,7.406836397212526
2020-05-25,4.442790458373178,1.869877265971186,7.124048936534209
2020-06-01,4.460327898459936,1.5471218233418194,7.123159322236561
2020-06-08,4.797503504098316,2.203549119060724,7.618116951955387
2020-06-15,5.170059477651924,2.4352267159460528,7.831382081222684
2020-06-22,5.213006718310971,2.3509880783478336,7.875653307252921
2020-06-29,4.822367525945518,2.1640336704061287,7.627950698085441
2020-07-06,4.247774777102743,1.7176803971408499,7.198854202894941
2020-07-13,3.8695560948872045,1.0515101571246543,6.556652278788242
2020-07-20,3.9015421117262803,1.2844598461891703,6.7027202413408995
2020-07-27,4.280075041531122,1.5959238733310548,7.030874770653983
2020-08-03,4.772090613068428,1.9685364469457658,7.324984236044418
2020-08-10,5.148235010651074,2.308553094465942,7.828118356833897
2020-08-17,5.286875398567057,2.530433346415218,8.109645287773576
2020-08-24,5.196959057678385,2.454880875431047,7.844632293854027
2020-08-31,4.997160790738821,2.173871893503536,7.875964367018293
2020-09-07,4.853987225058738,2.1720809297682693,7.582742664823719
2020-09-14,4.877907999219359,2.1275978313798993,7.328235642793067
2020-09-21,5.039527497728153,2.4507628302392837,7.62304527635461
2020-09-28,5.192696555939895,2.4748558334370716,8.188032032905399
2020-10-05,5.2014647021751745,2.4379623735249756,7.951751957184917
2020-10-12,5.052937195939046,2.371835323344176,7.903025471907032
2020-10-19,4.849228546897663,2.2460137986294906,7.411907070764579
2020-10-26,4.707291989461024,2.0034173948036607,7.332741132264438
2020-11-02,4.686713619192696,2.2521679324426103,7.392431904550485
2020-11-09,4.79892900915696,1.934620636843343,7.640186843102886
2020-11-16,5.028137150615975,2.5613387739321563,7.715677533485367
2020-11-23,5.295769976894893,2.363578782619284,7.788457874334593
2020-11-30,5.428535603671548,2.7636818055529795,8.145987559380137
2020-12-07,5.246621755653499,2.3947817248053997,7.855221818124602
2020-12-14,4.749488162433111,2.2192028952087615,7.423328659236534
2020-12-21,4.198228828049475,1.53839266807659,7.096480248900142
2020-12-28,3.9405371708519046,1.335851621342305,6.698184083070838
2021-01-04,4.105009281331854,1.2542254316517079,7.011497836399516
2021-01-11,4.4856800997586594,1.7429199542639169,7.158028356165842
2021-01-18,4.76881844927923,1.8578937010164374,7.485537540214977
2021-01-25,4.868921860980305,1.9321788127018695,7.429431123175489
2021-02-01,4.988560860615688,2.4283986252253733,7.9043564177812975
2021-02-08,5.315992714980299,2.71994246398036,8.058182207959678
2021-02-15,5.708174993250166,3.0865273407680225,8.47923622647064
2021-02-22,5.75883130883341,2.8703142521499423,8.410408524190032
2021-03-01,5.2242856335863594,2.517147313811843,8.001309464494472
2021-03-08,4.3482617697447905,1.7723239870459755,7.055220498919019
2021-03-15,3.702375093703404,0.9261887486356752,6.542118786445046
2021-03-22,3.680453113808173,0.888623885446739,6.37400794946999
2021-03-29,4.167288454790974,1.238356115732125,6.871607904193314
2021-04-05,4.71006068373997,2.1667048695688282,7.270394943897684
2021-04-12,4.975085757792943,2.3545709113660105,7.526834620832381
2021-04-19,4.993316443814436,2.3080977424821345,7.610379184131633
2021-04-26,4.981680913013132,2.3439681853788916,7.583058403492288
2021-05-03,5.017506902426613,2.2261207181639526,7.68991067848906
2021-05-10,4.969444905569714,2.3462563084829404,7.668740583033691
2021-05-17,4.735654615624453,2.0674826610908705,7.272805256041612
2021-05-24,4.4566976962401705,1.7758061153617217,7.312665173776564
2021-05-31,4.41199195494892,1.6035908067119675,7.236437965951157
2021-06-07,4.703816664147107,2.132960067274593,7.2779054874875735
2021-06-14,5.097887884538234,2.2990218228276293,7.644012198991081
2021-06-21,5.217637473071374,2.6055483537903728,7.8126944085309855
2021-06-28,4.896120713076423,2.3564741092135972,7.777000999693233
2021-07-05,4.32823928812871,1.7348649392648927,7.236488268730682
2021-07-12,3.8933269962381973,0.9943632355264431,6.43550796408956
2021-07-19,3.8493824558996623,1.2560935116051737,6.613370686827026
2021-07-26,4.179277322718516,1.7073979783389468,6.8894827886036225
2021-08-02,4.66786334954325,2.1635465671082796,7.349010623302808
2021-08-09,5.075681159722617,2.4200431415752637,7.933013517349615
2021-08-16,5.258989243995826,2.5590713540685237,7.905883249699423
2021-08-23,5.204043472550053,2.6691268082836475,8.234477775421755
2021-08-30,5.01262930277413,2.2048233064692244,7.774814991409203
2021-09-06,4.848821567439577,2.117956672949814,7.559920604938244
2021-09-13,4.840591847783815,2.078088688716328,7.393533040630282
2021-09-20,4.985664469629302,2.165936293345972,7.743850152307861
2021-09-27,5.15188187209767,2.5396743939895123,7.959952973082275
2021-10-04,5.19146517277091,2.535918289484826,8.041834591017597
2021-10-11,5.066281652479203,2.4088856021397578,7.862574248425407
2021-10-18,4.8636947652239515,2.193574430215996,7.281004966203784
2021-10-25,4.705086939824933,2.105536846708214,7.499641987281301
2021-11-01,4.661293961019017,1.872358485344781,7.440787415472877
2021-11-08,4.749677747711202,2.2539012725664174,7.5952804704857355
2021-11-15,4.9602747333700385,2.2824536176411763,7.64407110554287
2021-11-22,5.23016363326614,2.7046300552662115,8.165884981590377
2021-11-29,5.401574760760722,2.625013453544786,7.990061882052522
2021-12-06,5.283876615191963,2.479485957465212,7.761367524105626
2021-12-13,4.832532934902452,2.1002581503300535,7.411068726212088
2021-12-20,4.26621400688674,1.6471933668376983,7.021321355990393
2021-12-27,3.938266057494839,1.0636379073779945,6.351047313959192
2022-01-03,4.03360402264383,1.2269113983873519,6.744065776376403
2022-01-10,4.398961811690091,1.7958970534014156,7.187670473262272
2022-01-17,4.714243622978619,2.0165191723381373,7.459427750415316
2022-01-24,4.837556345740609,2.1490464406680863,7.347104980203627
2022-01-31,4.933658291626879,2.1225903371985906,7.5323135753166275
2022-02-07,5.221791170545646,2.460979702305452,7.899979788126327
2022-02-14,5.627392440784955,3.126055851136077,8.316978352667535
2022-02-21,5.7673448481179905,3.12088794640827,8.423095174921809
2022-02-28,5.3363053086284244,2.649045531735486,8.307597217874367
2022-03-07,4.486432813585924,1.9992030065637232,7.150976609773712
2022-03-14,3.761634020469982,0.9978642099701752,6.502345867028045
2022-03-21,3.621930415142852,0.8905868665702589,6.286161868664979
2022-03-28,4.045331633939904,1.6584379931380193,6.811167471284542
2022-04-04,4.609314888487755,1.7442516693211685,7.292038867333737
2022-04-11,4.9306864411375395,2.1954580042473597,7.8618504843910495
2022-04-18,4.9775371042371335,2.3012477458260236,7.711248527560111
2022-04-25,4.958492549388809,2.4136256254094954,7.746304373790457
2022-05-02,4.991295777839885,2.4821544467809344,7.7335609268706085
2022-05-09,4.970697517677921,2.1550049127808606,7.729532965142483
2022-05-16,4.768313115984004,2.0828618073788925,7.431494740270373
2022-05-23,4.478296376039558,1.7127996360369158,7.189579385181788
2022-05-30,4.375600359499418,1.4072411858104312,6.839780433021286
2022-06-06,4.614417880220278,1.9760699923874336,7.3011345122073115
2022-06-13,5.016806096230608,2.2606934971340595,7.883951600612291
2022-06-20,5.206978569022938,2.4991881221520535,7.931309751635929
2022-06-27,4.960754753208805,2.340607918741666,7.744235619369738
2022-07-04,4.412491732593487,1.7497650242480949,7.154024720469972
2022-07-11,3.9299817176961818,1.1545731074936927,6.555411625906533
2022-07-18,3.8099334782784506,1.093672324428474,6.603714043615408
2022-07-25,4.084243666076852,1.3210286610867432,6.635835518411391
2022-08-01,4.561493893482147,1.9801875329389165,7.277921310702933
2022-08-08,4.996077169586534,2.3100636266548475,7.687498671000362
2022-08-15,5.223280712953737,2.3231735347627387,7.679914663527153
2022-08-22,5.206379201709128,2.5619984766892143,7.753916232119383
2022-08-29,5.028766154118857,2.2985849263873837,7.69182746793317
2022-09-05,4.8488439154934975,2.1448291692301633,7.463246219510055
2022-09-12,4.808666920828069,2.157484337107732,7.584898091134478
2022-09-19,4.932792809806221,2.30772529641811,7.594044441638907
2022-09-26,5.106880552900825,2.687882267529219,7.925661901198195
2022-10-03,5.17577295388284,2.4417315165803033,8.0512765608633
2022-10-10,5.076803088707698,2.2296790488553606,7.775996483685255
2022-10-17,4.879438524190505,2.0314469659399297,7.438967827290751
2022-10-24,4.706534477171064,2.0108334815436963,7.45740464967094
2022-10-31,4.640166312800692,1.8131204254313094,7.2923011671365465
2022-11-07,4.704675515502228,2.1543358897366667,7.2992212578335165
2022-11-14,4.894971710339593,2.1673275314339424,7.616485079173497
2022-11-21,5.161931285537278,2.342968126189177,7.783052210800607
2022-11-28,5.365077479023455,2.8963020144079343,8.047394299665688
2022-12-05,5.309273100043365,2.4332755934202877,7.8614517522340455
2022-12-12,4.910653814091742,2.1764844027855816,7.566119950793841
2022-12-19,4.341543601906747,1.6120581722640426,7.101421092088964
2022-12-26,3.9503282758445923,1.2372457918808881,6.761192194409225
2023-01-02,3.9717279294348917,1.3839002124335529,6.680357305164337
2023-01-09,4.310674993903984,1.5747838459926835,6.934109131086589
2023-01-16,4.652917269305928,1.9686075472423727,7.356289252884768
